Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/04/2022,1,3,N,LZ_SOUTH,LZ,22.08
01/04/2022,1,4,N,LZ_SOUTH,LZ,22.01
01/04/2022,2,1,N,LZ_SOUTH,LZ,22.0
01/04/2022,2,2,N,LZ_SOUTH,LZ,21.4
01/04/2022,2,3,N,LZ_SOUTH,LZ,21.27
01/04/2022,2,4,N,LZ_SOUTH,LZ,21.29
01/04/2022,3,1,N,LZ_SOUTH,LZ,21.31
01/04/2022,3,2,N,LZ_SOUTH,LZ,21.44
01/04/2022,3,3,N,LZ_SOUTH,LZ,21.98
01/04/2022,3,4,N,LZ_SOUTH,LZ,21.55
01/04/2022,4,1,N,LZ_SOUTH,LZ,21.87
01/04/2022,4,2,N,LZ_SOUTH,LZ,22.03
01/04/2022,4,3,N,LZ_SOUTH,LZ,22.42
01/04/2022,4,4,N,LZ_SOUTH,LZ,22.53
01/04/2022,5,1,N,LZ_SOUTH,LZ,23.5
01/04/2022,5,2,N,LZ_SOUTH,LZ,24.03
01/04/2022,5,3,N,LZ_SOUTH,LZ,23.09
01/04/2022,5,4,N,LZ_SOUTH,LZ,21.53
01/04/2022,6,1,N,LZ_SOUTH,LZ,21.63
01/04/2022,6,2,N,LZ_SOUTH,LZ,21.72
01/04/2022,6,3,N,LZ_SOUTH,LZ,23.98
01/04/2022,6,4,N,LZ_SOUTH,LZ,25.74
01/04/2022,7,1,N,LZ_SOUTH,LZ,27.23
01/04/2022,7,2,N,LZ_SOUTH,LZ,28.14
01/04/2022,7,3,N,LZ_SOUTH,LZ,30.22
01/04/2022,7,4,N,LZ_SOUTH,LZ,34.96
01/04/2022,8,1,N,LZ_SOUTH,LZ,32.5
01/04/2022,8,2,N,LZ_SOUTH,LZ,31.04
01/04/2022,8,3,N,LZ_SOUTH,LZ,30.16
01/04/2022,8,4,N,LZ_SOUTH,LZ,28.45
01/04/2022,9,1,N,LZ_SOUTH,LZ,28.58
01/04/2022,9,2,N,LZ_SOUTH,LZ,24.76
01/04/2022,9,3,N,LZ_SOUTH,LZ,23.09
01/04/2022,9,4,N,LZ_SOUTH,LZ,22.08
01/04/2022,10,1,N,LZ_SOUTH,LZ,22.26
01/04/2022,10,2,N,LZ_SOUTH,LZ,22.28
01/04/2022,10,3,N,LZ_SOUTH,LZ,22.46
01/04/2022,10,4,N,LZ_SOUTH,LZ,21.94
01/04/2022,11,1,N,LZ_SOUTH,LZ,23.33
01/04/2022,11,2,N,LZ_SOUTH,LZ,21.9
01/04/2022,11,3,N,LZ_SOUTH,LZ,21.76
01/04/2022,11,4,N,LZ_SOUTH,LZ,21.33
01/04/2022,12,1,N,LZ_SOUTH,LZ,20.68
01/04/2022,12,2,N,LZ_SOUTH,LZ,20.35
01/04/2022,12,3,N,LZ_SOUTH,LZ,19.52
01/04/2022,12,4,N,LZ_SOUTH,LZ,18.24
01/04/2022,13,1,N,LZ_SOUTH,LZ,21.75
01/04/2022,13,2,N,LZ_SOUTH,LZ,19.35
01/04/2022,13,3,N,LZ_SOUTH,LZ,18.82
01/04/2022,13,4,N,LZ_SOUTH,LZ,18.62
01/04/2022,14,1,N,LZ_SOUTH,LZ,17.42
01/04/2022,14,2,N,LZ_SOUTH,LZ,17.86
01/04/2022,14,3,N,LZ_SOUTH,LZ,16.81
01/04/2022,14,4,N,LZ_SOUTH,LZ,16.62
01/04/2022,15,1,N,LZ_SOUTH,LZ,11.54
01/04/2022,15,2,N,LZ_SOUTH,LZ,5.58
01/04/2022,15,3,N,LZ_SOUTH,LZ,1.54
01/04/2022,15,4,N,LZ_SOUTH,LZ,0.01
01/04/2022,16,1,N,LZ_SOUTH,LZ,1.06
01/04/2022,16,2,N,LZ_SOUTH,LZ,5.42
01/04/2022,16,3,N,LZ_SOUTH,LZ,16.8
01/04/2022,16,4,N,LZ_SOUTH,LZ,17.05
01/04/2022,17,1,N,LZ_SOUTH,LZ,17.11
01/04/2022,17,2,N,LZ_SOUTH,LZ,17.55
01/04/2022,17,3,N,LZ_SOUTH,LZ,20.25
01/04/2022,17,4,N,LZ_SOUTH,LZ,22.38
01/04/2022,18,1,N,LZ_SOUTH,LZ,22.83
01/04/2022,18,2,N,LZ_SOUTH,LZ,28.67
01/04/2022,18,3,N,LZ_SOUTH,LZ,35.72
01/04/2022,18,4,N,LZ_SOUTH,LZ,41.36
01/04/2022,19,1,N,LZ_SOUTH,LZ,33.09
01/04/2022,19,2,N,LZ_SOUTH,LZ,31.49
01/04/2022,19,3,N,LZ_SOUTH,LZ,24.76
01/04/2022,19,4,N,LZ_SOUTH,LZ,23.32
01/04/2022,20,1,N,LZ_SOUTH,LZ,22.75
